Player_Names,Country,Start_Year,End_Year,Matches,Innings,Not_Out,Total_Runs,Highest_Score,Batting_Average,100's,50's,0,Career_Span,HS_num,Photos,contry link,country board
CG Macartney ,Australia,1907,1926,35,55,4,2131,170,41.78,7,9,1,19,170,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
HAPW Jayawardene ,Sri Lanka,2000,2015,58,83,11,2124,154*,29.5,4,5,9,15,154,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
WH Ponsford ,Australia,1924,1934,29,48,4,2122,266,48.22,7,6,1,10,266,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
RA McLean ,South Africa,1951,1964,40,73,3,2120,142,30.28,5,10,11,13,142,,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
KOA Powell ,West Indies,2011,2021,44,83,1,2113,134,25.76,3,7,8,10,134,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
AL Wadekar ,India,1966,1974,37,71,3,2113,143,31.07,1,14,7,8,143,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
Mehidy Hasan Miraz ,Bangladesh,2016,2025,54,98,10,2110,104,23.97,2,9,6,9,104,,https://vemaps.com/uploads/img/bd-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/Bangladesh_Cricket_Board_Logo.svg/1280px-Bangladesh_Cricket_Board_Logo.svg.png
MH Mankad ,India,1946,1959,44,72,5,2109,231,31.47,5,6,7,13,231,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
JP Duminy ,South Africa,2008,2017,46,74,10,2103,166,32.85,6,8,9,9,166,,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
JK Silva ,Sri Lanka,2011,2018,39,74,0,2099,139,28.36,3,12,6,7,139,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
AN Petersen ,South Africa,2010,2015,36,64,4,2093,182,34.88,5,8,3,5,182,,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
HDRL Thirimanne ,Sri Lanka,2011,2022,44,85,6,2088,155*,26.43,3,10,11,11,155,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
CPS Chauhan ,India,1969,1981,40,68,2,2084,97,31.57,0,16,6,12,97,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
MR Marsh ,Australia,2014,2024,46,80,7,2083,181,28.53,3,9,9,10,181,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
DP Conway ,New Zealand,2021,2025,29,54,1,2081,200,39.26,5,12,4,4,200,,https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
Imtiaz Ahmed ,Pakistan,1952,1962,41,72,1,2079,209,29.28,3,11,9,10,209,,https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
MG Johnson ,Australia,2007,2015,73,109,16,2065,123*,22.2,1,11,19,8,123,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
K Srikkanth ,India,1981,1992,43,72,3,2062,123,29.88,2,12,7,11,123,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
RM Cowper ,Australia,1964,1968,27,46,2,2061,307,46.84,5,10,3,4,307,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
PE Richardson ,England,1956,1963,34,56,1,2061,126,37.47,5,9,1,7,126,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
ML Jaisimha ,India,1959,1971,39,71,4,2056,129,30.68,3,12,9,12,129,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
LG Rowe ,West Indies,1972,1980,30,49,2,2047,302,43.55,7,7,2,8,302,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
SV Manjrekar ,India,1987,1996,37,61,6,2043,218,37.14,4,9,3,9,218,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
CR Woakes ,England,2013,2025,62,99,18,2034,137*,25.11,1,7,11,12,137,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
BA Young ,New Zealand,1993,1999,35,68,4,2034,267*,31.78,2,12,5,6,267,,https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
MJ Greatbatch ,New Zealand,1988,1996,41,71,5,2021,146*,30.62,3,10,9,8,146,,https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
CJL Rogers ,Australia,2008,2015,25,48,1,2015,173,42.87,5,14,1,7,173,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
AT Carey ,Australia,2021,2025,43,65,7,2010,156,34.65,2,11,4,4,156,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
AC Hudson ,South Africa,1992,1998,35,63,3,2007,163,33.45,4,13,7,6,163,,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
SD Hope ,West Indies,2015,2025,43,82,3,2005,147,25.37,3,5,2,10,147,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
DN Sardesai ,India,1961,1972,30,55,4,2001,212,39.23,5,9,4,11,212,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
TW Hayward ,England,1896,1909,35,60,2,1999,137,34.46,3,12,7,13,137,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
MA Noble ,Australia,1898,1909,42,73,7,1997,133,30.25,1,16,4,11,133,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
DL Murray ,West Indies,1963,1980,62,96,9,1993,91,22.9,0,11,7,17,91,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
HH Streak ,Zimbabwe,1993,2005,65,107,18,1990,127*,22.35,1,11,15,12,127,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRz4xNxBxpF61scy0Ihd3Ac0b8vIprWBdgVeA&s,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Zimbabwe_Cricket_%28logo%29.svg/1280px-Zimbabwe_Cricket_%28logo%29.svg.png
AD Gaekwad ,India,1974,1985,40,70,4,1985,201,30.07,2,10,4,11,201,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
G Pullar ,England,1959,1963,28,49,4,1974,175,43.86,4,12,3,4,175,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
BM McMillan ,South Africa,1992,1998,38,62,12,1968,113,39.36,3,13,3,6,113,,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
EAB Rowan ,South Africa,1935,1951,26,50,5,1965,236,43.66,3,12,4,16,236,,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
JM Parks ,England,1954,1968,46,68,7,1962,108*,32.16,2,9,3,14,108,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
BA Edgar ,New Zealand,1978,1986,39,68,4,1958,161,30.59,3,12,7,8,161,,https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
Abdul Razzaq ,Pakistan,1999,2006,46,77,9,1946,134,28.61,3,7,4,7,134,,https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
SC Williams ,Zimbabwe,2013,2025,24,47,4,1946,154,45.25,6,7,0,12,154,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRz4xNxBxpF61scy0Ihd3Ac0b8vIprWBdgVeA&s,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Zimbabwe_Cricket_%28logo%29.svg/1280px-Zimbabwe_Cricket_%28logo%29.svg.png
W Jaffer ,India,2000,2008,31,58,1,1944,212,34.1,5,11,6,8,212,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
RS Kaluwitharana ,Sri Lanka,1992,2004,49,78,4,1933,132*,26.12,3,9,5,12,132,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
